target_ref,freq_band_ref,position_ref,measurement_ref,csv_file_ref,segment_ref,duration_sec_ref,HR_Ref_BPM_ref,RR_Ref_BPM_ref,R_peak_count_ref,key,target_algo,freq_band_algo,position_algo,measurement_algo,csv_file_algo,segment_algo,duration_sec_algo,HR_Ref_BPM_algo,RR_Ref_BPM_algo,R_peak_count_algo,HR_Est_BPM,RR_Est_BPM,HR_Error_BPM,RR_Error_BPM,Range_m,Azimuth_deg,SNR_dB,Confidence_Breath,Confidence_Heart,Num_Detected_Targets,Status
Target1,3GHZ,1,1,log_Target1_3GHZ_position1_ (1).csv,0,60.0,101.8419699452464,19.940749523861104,102,Target1_1,Target1,3GHZ,1,1,log_Target1_3GHZ_position1_ (1).csv,0,30.0,102.0,19.0,102,95.21484375,21.09375,6.78515625,2.09375,6.4,-2.857142857142861,21.00695467931895,1.9819691173726568,2.9375998897339635,4,Success
Target1,3GHZ,1,2,log_Target1_3GHZ_position1_ (2).csv,0,60.0,101.5309631462549,14.247059953300498,101,Target1_2,Target1,3GHZ,1,2,log_Target1_3GHZ_position1_ (2).csv,0,30.0,101.0,19.0,101,124.21875,24.0234375,23.21875,5.0234375,3.8,-29.52380952380953,21.7694034034924,1.5892950966731276,2.561044684862158,4,Success
Target1,3GHZ,1,3,log_Target1_3GHZ_position1_ (3).csv,0,60.0,99.2026706292472,19.285124521493383,101,Target1_3,Target1,3GHZ,1,3,log_Target1_3GHZ_position1_ (3).csv,0,30.0,101.0,17.0,101,72.0703125,15.234375,28.9296875,1.765625,6.3500000000000005,0.952380952380949,21.523178930371007,1.7659377634152134,2.425391042464551,4,Success
Target1,3GHZ,1,4,log_Target1_3GHZ_position1_ (4).csv,0,60.0,103.05469954003168,17.39356739230004,103,Target1_4,Target1,3GHZ,1,4,log_Target1_3GHZ_position1_ (4).csv,0,30.0,103.0,20.0,103,58.88671875,17.578125,44.11328125,2.421875,5.0,0.952380952380949,20.259061325451793,2.0441348854184933,2.5375267092689913,4,Success
Target1,3GHZ,1,5,log_Target1_3GHZ_position1_ (5).csv,0,60.0,103.5974242025298,18.003968060395522,104,Target1_5,Target1,3GHZ,1,5,log_Target1_3GHZ_position1_ (5).csv,0,30.0,105.0,19.0,105,59.47265625,13.4765625,45.52734375,5.5234375,5.0,0.952380952380949,19.935816669588277,1.6952781579262624,2.558490320034975,4,Success
Target1,3GHZ,1,6,log_Target1_3GHZ_position1_ (6).csv,0,60.0,103.66040336649291,19.450891248799635,103,Target1_6,Target1,3GHZ,1,6,log_Target1_3GHZ_position1_ (6).csv,0,30.0,104.0,15.0,104,107.8125,17.578125,3.8125,2.578125,6.4,0.952380952380949,22.280578927367948,2.5878161988457697,2.790459653646187,4,Success
Target2,3GHZ,1,1,log_Target2_3GHZ_position1_ (1).csv,0,60.0,69.78926519509747,16.90956470981171,69,Target2_1,Target2,3GHZ,1,1,log_Target2_3GHZ_position1_ (1).csv,0,30.0,71.0,17.0,71,60.05859375,16.40625,10.94140625,0.59375,2.3000000000000003,29.52380952380952,26.28875984979651,1.6895070022652183,2.4552561263025106,4,Success
Target2,3GHZ,1,2,log_Target2_3GHZ_position1_ (2).csv,0,60.0,51.0,15.63449504387846,1,Target2_2,Target2,3GHZ,1,2,log_Target2_3GHZ_position1_ (2).csv,0,30.0,78.0,18.0,78,57.71484375,12.890625,20.28515625,5.109375,2.3000000000000003,29.52380952380952,27.34395318265148,1.834356323811252,2.2613895953556793,4,Success
Target2,3GHZ,1,3,log_Target2_3GHZ_position1_ (3).csv,0,60.0,69.85851616846062,19.103113731979608,70,Target2_3,Target2,3GHZ,1,3,log_Target2_3GHZ_position1_ (3).csv,0,30.0,70.0,18.0,70,72.0703125,15.234375,2.0703125,2.765625,6.3500000000000005,0.952380952380949,21.523178930371007,1.7659377634152134,2.425391042464551,4,Success
Target2,3GHZ,1,4,log_Target2_3GHZ_position1_ (4).csv,0,60.0,67.17020439087204,19.287404590910008,67,Target2_4,Target2,3GHZ,1,4,log_Target2_3GHZ_position1_ (4).csv,0,30.0,68.0,17.0,68,58.88671875,17.578125,9.11328125,0.578125,5.0,0.952380952380949,20.259061325451793,2.0441348854184933,2.5375267092689913,4,Success
Target2,3GHZ,1,5,log_Target2_3GHZ_position1_ (5).csv,0,60.0,65.76704448147845,21.290711725742774,67,Target2_5,Target2,3GHZ,1,5,log_Target2_3GHZ_position1_ (5).csv,0,30.0,70.0,18.0,70,59.47265625,13.4765625,10.52734375,4.5234375,5.0,0.952380952380949,19.935816669588277,1.6952781579262624,2.558490320034975,4,Success
Target2,3GHZ,1,6,log_Target2_3GHZ_position1_ (6).csv,0,60.0,70.11987463471469,13.847575139513571,70,Target2_6,Target2,3GHZ,1,6,log_Target2_3GHZ_position1_ (6).csv,0,30.0,71.0,17.0,71,62.109375,16.40625,8.890625,0.59375,8.6,-0.952380952380956,22.008397826881637,2.1274677965395625,2.9530105372887276,4,Success
